Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Рубцовск - Ремонт	ремонт кровли рубцовск	Ремонт крыши в Рубцовск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rubtsovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rubtsovsk_tenant1
-	Рубцовск - Ремонт	ремонт крыши рубцовск	Ремонт крыши в Рубцовск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rubtsovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rubtsovsk_tenant1
-	Рубцовск - Ремонт	демонтаж крыши рубцовск	Ремонт крыши в Рубцовск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rubtsovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rubtsovsk_tenant1
-	Рубцовск - Ремонт	устранение протечек крыши рубцовск	Ремонт крыши в Рубцовск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rubtsovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rubtsovsk_tenant1
-	Рубцовск - Ремонт	ремонт крыши частного дома рубцовск	Ремонт крыши в Рубцовск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	rubtsovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=rubtsovsk_tenant1
-	Рубцовск - Монтаж	монтаж кровли рубцовск	Кровля под ключ в Рубцовск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rubtsovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rubtsovsk_tenant1
-	Рубцовск - Монтаж	кровельные работы рубцовск	Кровля под ключ в Рубцовск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rubtsovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rubtsovsk_tenant1
-	Рубцовск - Монтаж	крыша под ключ рубцовск	Кровля под ключ в Рубцовск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rubtsovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rubtsovsk_tenant1
-	Рубцовск - Монтаж	перекрыть крышу рубцовск	Кровля под ключ в Рубцовск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rubtsovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rubtsovsk_tenant1
-	Рубцовск - Монтаж	строительство крыши рубцовск	Кровля под ключ в Рубцовск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	rubtsovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=rubtsovsk_tenant1
