Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Самара - Ремонт	ремонт кровли самара	Ремонт крыши в Самара	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	samara.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=samara_tenant1
-	Самара - Ремонт	ремонт крыши самара	Ремонт крыши в Самара	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	samara.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=samara_tenant1
-	Самара - Ремонт	демонтаж крыши самара	Ремонт крыши в Самара	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	samara.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=samara_tenant1
-	Самара - Ремонт	устранение протечек крыши самара	Ремонт крыши в Самара	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	samara.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=samara_tenant1
-	Самара - Ремонт	ремонт крыши частного дома самара	Ремонт крыши в Самара	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	samara.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=samara_tenant1
-	Самара - Монтаж	монтаж кровли самара	Кровля под ключ в Самара	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	samara.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=samara_tenant1
-	Самара - Монтаж	кровельные работы самара	Кровля под ключ в Самара	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	samara.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=samara_tenant1
-	Самара - Монтаж	крыша под ключ самара	Кровля под ключ в Самара	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	samara.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=samara_tenant1
-	Самара - Монтаж	перекрыть крышу самара	Кровля под ключ в Самара	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	samara.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=samara_tenant1
-	Самара - Монтаж	строительство крыши самара	Кровля под ключ в Самара	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	samara.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=samara_tenant1
