Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Санкт-Петербург - Ремонт	ремонт кровли санкт-петербург	Ремонт крыши в Санкт-Петербург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sankt-peterburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Ремонт	ремонт крыши санкт-петербург	Ремонт крыши в Санкт-Петербург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sankt-peterburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Ремонт	демонтаж крыши санкт-петербург	Ремонт крыши в Санкт-Петербург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sankt-peterburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Ремонт	устранение протечек крыши санкт-петербург	Ремонт крыши в Санкт-Петербург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sankt-peterburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Ремонт	ремонт крыши частного дома санкт-петербург	Ремонт крыши в Санкт-Петербург	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sankt-peterburg.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Монтаж	монтаж кровли санкт-петербург	Кровля под ключ в Санкт-Петербург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sankt-peterburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Монтаж	кровельные работы санкт-петербург	Кровля под ключ в Санкт-Петербург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sankt-peterburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Монтаж	крыша под ключ санкт-петербург	Кровля под ключ в Санкт-Петербург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sankt-peterburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Монтаж	перекрыть крышу санкт-петербург	Кровля под ключ в Санкт-Петербург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sankt-peterburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Монтаж	строительство крыши санкт-петербург	Кровля под ключ в Санкт-Петербург	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sankt-peterburg.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Металлочерепица	монтаж металлочерепицы санкт-петербург	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sankt-peterburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
-	Санкт-Петербург - Металлочерепица	крыша из металлочерепицы санкт-петербург	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sankt-peterburg.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sankt-peterburg_tenant1
