Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Саранск - Ремонт	ремонт кровли саранск	Ремонт крыши в Саранск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	saransk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=saransk_tenant1
-	Саранск - Ремонт	ремонт крыши саранск	Ремонт крыши в Саранск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	saransk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=saransk_tenant1
-	Саранск - Ремонт	демонтаж крыши саранск	Ремонт крыши в Саранск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	saransk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=saransk_tenant1
-	Саранск - Ремонт	устранение протечек крыши саранск	Ремонт крыши в Саранск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	saransk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=saransk_tenant1
-	Саранск - Ремонт	ремонт крыши частного дома саранск	Ремонт крыши в Саранск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	saransk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=saransk_tenant1
-	Саранск - Монтаж	монтаж кровли саранск	Кровля под ключ в Саранск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	saransk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=saransk_tenant1
-	Саранск - Монтаж	кровельные работы саранск	Кровля под ключ в Саранск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	saransk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=saransk_tenant1
-	Саранск - Монтаж	крыша под ключ саранск	Кровля под ключ в Саранск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	saransk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=saransk_tenant1
-	Саранск - Монтаж	перекрыть крышу саранск	Кровля под ключ в Саранск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	saransk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=saransk_tenant1
-	Саранск - Монтаж	строительство крыши саранск	Кровля под ключ в Саранск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	saransk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=saransk_tenant1
