Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Саратов - Ремонт	ремонт кровли саратов	Ремонт крыши в Саратов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	saratov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=saratov_tenant1
-	Саратов - Ремонт	ремонт крыши саратов	Ремонт крыши в Саратов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	saratov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=saratov_tenant1
-	Саратов - Ремонт	демонтаж крыши саратов	Ремонт крыши в Саратов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	saratov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=saratov_tenant1
-	Саратов - Ремонт	устранение протечек крыши саратов	Ремонт крыши в Саратов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	saratov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=saratov_tenant1
-	Саратов - Ремонт	ремонт крыши частного дома саратов	Ремонт крыши в Саратов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	saratov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=saratov_tenant1
-	Саратов - Монтаж	монтаж кровли саратов	Кровля под ключ в Саратов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	saratov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=saratov_tenant1
-	Саратов - Монтаж	кровельные работы саратов	Кровля под ключ в Саратов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	saratov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=saratov_tenant1
-	Саратов - Монтаж	крыша под ключ саратов	Кровля под ключ в Саратов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	saratov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=saratov_tenant1
-	Саратов - Монтаж	перекрыть крышу саратов	Кровля под ключ в Саратов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	saratov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=saratov_tenant1
-	Саратов - Монтаж	строительство крыши саратов	Кровля под ключ в Саратов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	saratov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=saratov_tenant1
