Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Серпухов - Ремонт	ремонт кровли серпухов	Ремонт крыши в Серпухов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	serpukhov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=serpukhov_tenant1
-	Серпухов - Ремонт	ремонт крыши серпухов	Ремонт крыши в Серпухов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	serpukhov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=serpukhov_tenant1
-	Серпухов - Ремонт	демонтаж крыши серпухов	Ремонт крыши в Серпухов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	serpukhov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=serpukhov_tenant1
-	Серпухов - Ремонт	устранение протечек крыши серпухов	Ремонт крыши в Серпухов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	serpukhov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=serpukhov_tenant1
-	Серпухов - Ремонт	ремонт крыши частного дома серпухов	Ремонт крыши в Серпухов	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	serpukhov.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=serpukhov_tenant1
-	Серпухов - Монтаж	монтаж кровли серпухов	Кровля под ключ в Серпухов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	serpukhov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=serpukhov_tenant1
-	Серпухов - Монтаж	кровельные работы серпухов	Кровля под ключ в Серпухов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	serpukhov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=serpukhov_tenant1
-	Серпухов - Монтаж	крыша под ключ серпухов	Кровля под ключ в Серпухов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	serpukhov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=serpukhov_tenant1
-	Серпухов - Монтаж	перекрыть крышу серпухов	Кровля под ключ в Серпухов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	serpukhov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=serpukhov_tenant1
-	Серпухов - Монтаж	строительство крыши серпухов	Кровля под ключ в Серпухов	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	serpukhov.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=serpukhov_tenant1
