Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Севастополь - Ремонт	ремонт кровли севастополь	Ремонт крыши в Севастополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sevastopol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Ремонт	ремонт крыши севастополь	Ремонт крыши в Севастополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sevastopol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Ремонт	демонтаж крыши севастополь	Ремонт крыши в Севастополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sevastopol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Ремонт	устранение протечек крыши севастополь	Ремонт крыши в Севастополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sevastopol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Ремонт	ремонт крыши частного дома севастополь	Ремонт крыши в Севастополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sevastopol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Монтаж	монтаж кровли севастополь	Кровля под ключ в Севастополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sevastopol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Монтаж	кровельные работы севастополь	Кровля под ключ в Севастополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sevastopol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Монтаж	крыша под ключ севастополь	Кровля под ключ в Севастополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sevastopol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Монтаж	перекрыть крышу севастополь	Кровля под ключ в Севастополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sevastopol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Монтаж	строительство крыши севастополь	Кровля под ключ в Севастополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sevastopol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Металлочерепица	монтаж металлочерепицы севастополь	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sevastopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Металлочерепица	крыша из металлочерепицы севастополь	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sevastopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Металлочерепица	металлочерепица под ключ севастополь	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sevastopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Металлочерепица	кровля металлочерепица цена севастополь	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sevastopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Профнастил	монтаж профнастила на крышу севастополь	Кровля из профнастила	От 1400 руб/м² в Севастополь	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sevastopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Профнастил	крыша из профнастила севастополь	Кровля из профнастила	От 1400 руб/м² в Севастополь	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sevastopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Профнастил	перекрыть крышу профлистом севастополь	Кровля из профнастила	От 1400 руб/м² в Севастополь	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sevastopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Профнастил	кровля профнастил цена севастополь	Кровля из профнастила	От 1400 руб/м² в Севастополь	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sevastopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Гибкая черепица	монтаж мягкой кровли севастополь	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sevastopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Гибкая черепица	гибкая черепица монтаж севастополь	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sevastopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Гибкая черепица	мягкая кровля цена севастополь	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sevastopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
-	Севастополь - Гибкая черепица	укладка мягкой черепицы севастополь	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sevastopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sevastopol_tenant1
