Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Шадринск - Ремонт	ремонт кровли шадринск	Ремонт крыши в Шадринск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	shadrinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=shadrinsk_tenant1
-	Шадринск - Ремонт	ремонт крыши шадринск	Ремонт крыши в Шадринск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	shadrinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=shadrinsk_tenant1
-	Шадринск - Ремонт	демонтаж крыши шадринск	Ремонт крыши в Шадринск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	shadrinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=shadrinsk_tenant1
-	Шадринск - Ремонт	устранение протечек крыши шадринск	Ремонт крыши в Шадринск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	shadrinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=shadrinsk_tenant1
-	Шадринск - Ремонт	ремонт крыши частного дома шадринск	Ремонт крыши в Шадринск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	shadrinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=shadrinsk_tenant1
-	Шадринск - Монтаж	монтаж кровли шадринск	Кровля под ключ в Шадринск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	shadrinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=shadrinsk_tenant1
-	Шадринск - Монтаж	кровельные работы шадринск	Кровля под ключ в Шадринск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	shadrinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=shadrinsk_tenant1
-	Шадринск - Монтаж	крыша под ключ шадринск	Кровля под ключ в Шадринск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	shadrinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=shadrinsk_tenant1
-	Шадринск - Монтаж	перекрыть крышу шадринск	Кровля под ключ в Шадринск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	shadrinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=shadrinsk_tenant1
-	Шадринск - Монтаж	строительство крыши шадринск	Кровля под ключ в Шадринск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	shadrinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=shadrinsk_tenant1
