Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Шахты - Ремонт	ремонт кровли шахты	Ремонт крыши в Шахты	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	shakhty.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Ремонт	ремонт крыши шахты	Ремонт крыши в Шахты	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	shakhty.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Ремонт	демонтаж крыши шахты	Ремонт крыши в Шахты	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	shakhty.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Ремонт	устранение протечек крыши шахты	Ремонт крыши в Шахты	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	shakhty.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Ремонт	ремонт крыши частного дома шахты	Ремонт крыши в Шахты	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	shakhty.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Монтаж	монтаж кровли шахты	Кровля под ключ в Шахты	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	shakhty.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Монтаж	кровельные работы шахты	Кровля под ключ в Шахты	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	shakhty.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Монтаж	крыша под ключ шахты	Кровля под ключ в Шахты	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	shakhty.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Монтаж	перекрыть крышу шахты	Кровля под ключ в Шахты	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	shakhty.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Монтаж	строительство крыши шахты	Кровля под ключ в Шахты	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	shakhty.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Металлочерепица	монтаж металлочерепицы шахты	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	shakhty.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Металлочерепица	крыша из металлочерепицы шахты	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	shakhty.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Металлочерепица	металлочерепица под ключ шахты	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	shakhty.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Металлочерепица	кровля металлочерепица цена шахты	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	shakhty.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Профнастил	монтаж профнастила на крышу шахты	Кровля из профнастила	От 1400 руб/м² в Шахты	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	shakhty.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Профнастил	крыша из профнастила шахты	Кровля из профнастила	От 1400 руб/м² в Шахты	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	shakhty.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
-	Шахты - Профнастил	перекрыть крышу профлистом шахты	Кровля из профнастила	От 1400 руб/м² в Шахты	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	shakhty.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=shakhty_tenant1
