Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Сибай - Ремонт	ремонт кровли сибай	Ремонт крыши в Сибай	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sibay.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Ремонт	ремонт крыши сибай	Ремонт крыши в Сибай	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sibay.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Ремонт	демонтаж крыши сибай	Ремонт крыши в Сибай	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sibay.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Ремонт	устранение протечек крыши сибай	Ремонт крыши в Сибай	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sibay.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Ремонт	ремонт крыши частного дома сибай	Ремонт крыши в Сибай	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sibay.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Монтаж	монтаж кровли сибай	Кровля под ключ в Сибай	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sibay.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Монтаж	кровельные работы сибай	Кровля под ключ в Сибай	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sibay.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Монтаж	крыша под ключ сибай	Кровля под ключ в Сибай	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sibay.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Монтаж	перекрыть крышу сибай	Кровля под ключ в Сибай	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sibay.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Монтаж	строительство крыши сибай	Кровля под ключ в Сибай	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sibay.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Металлочерепица	монтаж металлочерепицы сибай	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sibay.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Металлочерепица	крыша из металлочерепицы сибай	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sibay.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Металлочерепица	металлочерепица под ключ сибай	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sibay.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
-	Сибай - Металлочерепица	кровля металлочерепица цена сибай	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sibay.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sibay_tenant1
