Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Симферополь - Ремонт	ремонт кровли симферополь	Ремонт крыши в Симферополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	simferopol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=simferopol_tenant1
-	Симферополь - Ремонт	ремонт крыши симферополь	Ремонт крыши в Симферополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	simferopol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=simferopol_tenant1
-	Симферополь - Ремонт	демонтаж крыши симферополь	Ремонт крыши в Симферополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	simferopol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=simferopol_tenant1
-	Симферополь - Ремонт	устранение протечек крыши симферополь	Ремонт крыши в Симферополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	simferopol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=simferopol_tenant1
-	Симферополь - Ремонт	ремонт крыши частного дома симферополь	Ремонт крыши в Симферополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	simferopol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=simferopol_tenant1
-	Симферополь - Монтаж	монтаж кровли симферополь	Кровля под ключ в Симферополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	simferopol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=simferopol_tenant1
-	Симферополь - Монтаж	кровельные работы симферополь	Кровля под ключ в Симферополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	simferopol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=simferopol_tenant1
-	Симферополь - Монтаж	крыша под ключ симферополь	Кровля под ключ в Симферополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	simferopol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=simferopol_tenant1
-	Симферополь - Монтаж	перекрыть крышу симферополь	Кровля под ключ в Симферополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	simferopol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=simferopol_tenant1
-	Симферополь - Монтаж	строительство крыши симферополь	Кровля под ключ в Симферополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	simferopol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=simferopol_tenant1
-	Симферополь - Металлочерепица	монтаж металлочерепицы симферополь	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	simferopol.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=simferopol_tenant1
