Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Смоленск - Ремонт	ремонт кровли смоленск	Ремонт крыши в Смоленск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	smolensk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Ремонт	ремонт крыши смоленск	Ремонт крыши в Смоленск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	smolensk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Ремонт	демонтаж крыши смоленск	Ремонт крыши в Смоленск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	smolensk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Ремонт	устранение протечек крыши смоленск	Ремонт крыши в Смоленск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	smolensk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Ремонт	ремонт крыши частного дома смоленск	Ремонт крыши в Смоленск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	smolensk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Монтаж	монтаж кровли смоленск	Кровля под ключ в Смоленск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	smolensk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Монтаж	кровельные работы смоленск	Кровля под ключ в Смоленск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	smolensk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Монтаж	крыша под ключ смоленск	Кровля под ключ в Смоленск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	smolensk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Монтаж	перекрыть крышу смоленск	Кровля под ключ в Смоленск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	smolensk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Монтаж	строительство крыши смоленск	Кровля под ключ в Смоленск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	smolensk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Металлочерепица	монтаж металлочерепицы смоленск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	smolensk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Металлочерепица	крыша из металлочерепицы смоленск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	smolensk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Металлочерепица	металлочерепица под ключ смоленск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	smolensk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Металлочерепица	кровля металлочерепица цена смоленск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	smolensk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Профнастил	монтаж профнастила на крышу смоленск	Кровля из профнастила	От 1400 руб/м² в Смоленск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	smolensk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Профнастил	крыша из профнастила смоленск	Кровля из профнастила	От 1400 руб/м² в Смоленск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	smolensk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Профнастил	перекрыть крышу профлистом смоленск	Кровля из профнастила	От 1400 руб/м² в Смоленск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	smolensk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Профнастил	кровля профнастил цена смоленск	Кровля из профнастила	От 1400 руб/м² в Смоленск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	smolensk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Гибкая черепица	монтаж мягкой кровли смоленск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	smolensk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
-	Смоленск - Гибкая черепица	гибкая черепица монтаж смоленск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	smolensk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=smolensk_tenant1
