Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Сочи - Ремонт	ремонт кровли сочи	Ремонт крыши в Сочи	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sochi.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Ремонт	ремонт крыши сочи	Ремонт крыши в Сочи	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sochi.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Ремонт	демонтаж крыши сочи	Ремонт крыши в Сочи	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sochi.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Ремонт	устранение протечек крыши сочи	Ремонт крыши в Сочи	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sochi.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Ремонт	ремонт крыши частного дома сочи	Ремонт крыши в Сочи	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sochi.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Монтаж	монтаж кровли сочи	Кровля под ключ в Сочи	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sochi.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Монтаж	кровельные работы сочи	Кровля под ключ в Сочи	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sochi.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Монтаж	крыша под ключ сочи	Кровля под ключ в Сочи	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sochi.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Монтаж	перекрыть крышу сочи	Кровля под ключ в Сочи	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sochi.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Монтаж	строительство крыши сочи	Кровля под ключ в Сочи	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sochi.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Металлочерепица	монтаж металлочерепицы сочи	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sochi.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Металлочерепица	крыша из металлочерепицы сочи	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sochi.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Металлочерепица	металлочерепица под ключ сочи	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sochi.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Металлочерепица	кровля металлочерепица цена сочи	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sochi.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Профнастил	монтаж профнастила на крышу сочи	Кровля из профнастила	От 1400 руб/м² в Сочи	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sochi.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Профнастил	крыша из профнастила сочи	Кровля из профнастила	От 1400 руб/м² в Сочи	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sochi.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Профнастил	перекрыть крышу профлистом сочи	Кровля из профнастила	От 1400 руб/м² в Сочи	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sochi.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Профнастил	кровля профнастил цена сочи	Кровля из профнастила	От 1400 руб/м² в Сочи	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sochi.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Гибкая черепица	монтаж мягкой кровли сочи	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sochi.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Гибкая черепица	гибкая черепица монтаж сочи	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sochi.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Гибкая черепица	мягкая кровля цена сочи	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sochi.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
-	Сочи - Гибкая черепица	укладка мягкой черепицы сочи	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sochi.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sochi_tenant1
