Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Ставрополь - Ремонт	ремонт кровли ставрополь	Ремонт крыши в Ставрополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	stavropol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=stavropol_tenant1
-	Ставрополь - Ремонт	ремонт крыши ставрополь	Ремонт крыши в Ставрополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	stavropol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=stavropol_tenant1
-	Ставрополь - Ремонт	демонтаж крыши ставрополь	Ремонт крыши в Ставрополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	stavropol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=stavropol_tenant1
-	Ставрополь - Ремонт	устранение протечек крыши ставрополь	Ремонт крыши в Ставрополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	stavropol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=stavropol_tenant1
-	Ставрополь - Ремонт	ремонт крыши частного дома ставрополь	Ремонт крыши в Ставрополь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	stavropol.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=stavropol_tenant1
-	Ставрополь - Монтаж	монтаж кровли ставрополь	Кровля под ключ в Ставрополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	stavropol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=stavropol_tenant1
-	Ставрополь - Монтаж	кровельные работы ставрополь	Кровля под ключ в Ставрополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	stavropol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=stavropol_tenant1
-	Ставрополь - Монтаж	крыша под ключ ставрополь	Кровля под ключ в Ставрополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	stavropol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=stavropol_tenant1
-	Ставрополь - Монтаж	перекрыть крышу ставрополь	Кровля под ключ в Ставрополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	stavropol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=stavropol_tenant1
-	Ставрополь - Монтаж	строительство крыши ставрополь	Кровля под ключ в Ставрополь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	stavropol.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=stavropol_tenant1
