Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Стерлитамак - Ремонт	ремонт кровли стерлитамак	Ремонт крыши в Стерлитамак	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sterlitamak.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Ремонт	ремонт крыши стерлитамак	Ремонт крыши в Стерлитамак	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sterlitamak.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Ремонт	демонтаж крыши стерлитамак	Ремонт крыши в Стерлитамак	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sterlitamak.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Ремонт	устранение протечек крыши стерлитамак	Ремонт крыши в Стерлитамак	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sterlitamak.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Ремонт	ремонт крыши частного дома стерлитамак	Ремонт крыши в Стерлитамак	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	sterlitamak.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Монтаж	монтаж кровли стерлитамак	Кровля под ключ в Стерлитамак	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sterlitamak.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Монтаж	кровельные работы стерлитамак	Кровля под ключ в Стерлитамак	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sterlitamak.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Монтаж	крыша под ключ стерлитамак	Кровля под ключ в Стерлитамак	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sterlitamak.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Монтаж	перекрыть крышу стерлитамак	Кровля под ключ в Стерлитамак	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sterlitamak.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Монтаж	строительство крыши стерлитамак	Кровля под ключ в Стерлитамак	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	sterlitamak.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Металлочерепица	монтаж металлочерепицы стерлитамак	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sterlitamak.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Металлочерепица	крыша из металлочерепицы стерлитамак	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sterlitamak.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Металлочерепица	металлочерепица под ключ стерлитамак	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sterlitamak.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Металлочерепица	кровля металлочерепица цена стерлитамак	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	sterlitamak.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Профнастил	монтаж профнастила на крышу стерлитамак	Кровля из профнастила	От 1400 руб/м² в Стерлитамак	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sterlitamak.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Профнастил	крыша из профнастила стерлитамак	Кровля из профнастила	От 1400 руб/м² в Стерлитамак	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sterlitamak.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Профнастил	перекрыть крышу профлистом стерлитамак	Кровля из профнастила	От 1400 руб/м² в Стерлитамак	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sterlitamak.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Профнастил	кровля профнастил цена стерлитамак	Кровля из профнастила	От 1400 руб/м² в Стерлитамак	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	sterlitamak.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Гибкая черепица	монтаж мягкой кровли стерлитамак	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sterlitamak.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Гибкая черепица	гибкая черепица монтаж стерлитамак	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sterlitamak.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Гибкая черепица	мягкая кровля цена стерлитамак	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sterlitamak.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
-	Стерлитамак - Гибкая черепица	укладка мягкой черепицы стерлитамак	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	sterlitamak.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=sterlitamak_tenant1
