Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Сургут - Ремонт	ремонт кровли сургут	Ремонт крыши в Сургут	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	surgut.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=surgut_tenant1
-	Сургут - Ремонт	ремонт крыши сургут	Ремонт крыши в Сургут	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	surgut.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=surgut_tenant1
-	Сургут - Ремонт	демонтаж крыши сургут	Ремонт крыши в Сургут	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	surgut.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=surgut_tenant1
-	Сургут - Ремонт	устранение протечек крыши сургут	Ремонт крыши в Сургут	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	surgut.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=surgut_tenant1
-	Сургут - Ремонт	ремонт крыши частного дома сургут	Ремонт крыши в Сургут	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	surgut.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=surgut_tenant1
-	Сургут - Монтаж	монтаж кровли сургут	Кровля под ключ в Сургут	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	surgut.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=surgut_tenant1
-	Сургут - Монтаж	кровельные работы сургут	Кровля под ключ в Сургут	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	surgut.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=surgut_tenant1
-	Сургут - Монтаж	крыша под ключ сургут	Кровля под ключ в Сургут	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	surgut.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=surgut_tenant1
-	Сургут - Монтаж	перекрыть крышу сургут	Кровля под ключ в Сургут	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	surgut.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=surgut_tenant1
-	Сургут - Монтаж	строительство крыши сургут	Кровля под ключ в Сургут	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	surgut.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=surgut_tenant1
