Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Сыктывкар - Ремонт	ремонт кровли сыктывкар	Ремонт крыши в Сыктывкар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	syktyvkar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=syktyvkar_tenant1
-	Сыктывкар - Ремонт	ремонт крыши сыктывкар	Ремонт крыши в Сыктывкар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	syktyvkar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=syktyvkar_tenant1
-	Сыктывкар - Ремонт	демонтаж крыши сыктывкар	Ремонт крыши в Сыктывкар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	syktyvkar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=syktyvkar_tenant1
-	Сыктывкар - Ремонт	устранение протечек крыши сыктывкар	Ремонт крыши в Сыктывкар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	syktyvkar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=syktyvkar_tenant1
-	Сыктывкар - Ремонт	ремонт крыши частного дома сыктывкар	Ремонт крыши в Сыктывкар	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	syktyvkar.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=syktyvkar_tenant1
-	Сыктывкар - Монтаж	монтаж кровли сыктывкар	Кровля под ключ в Сыктывкар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	syktyvkar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=syktyvkar_tenant1
-	Сыктывкар - Монтаж	кровельные работы сыктывкар	Кровля под ключ в Сыктывкар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	syktyvkar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=syktyvkar_tenant1
-	Сыктывкар - Монтаж	крыша под ключ сыктывкар	Кровля под ключ в Сыктывкар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	syktyvkar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=syktyvkar_tenant1
-	Сыктывкар - Монтаж	перекрыть крышу сыктывкар	Кровля под ключ в Сыктывкар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	syktyvkar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=syktyvkar_tenant1
-	Сыктывкар - Монтаж	строительство крыши сыктывкар	Кровля под ключ в Сыктывкар	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	syktyvkar.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=syktyvkar_tenant1
