Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Томск - Ремонт	ремонт кровли томск	Ремонт крыши в Томск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tomsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tomsk_tenant1
-	Томск - Ремонт	ремонт крыши томск	Ремонт крыши в Томск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tomsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tomsk_tenant1
-	Томск - Ремонт	демонтаж крыши томск	Ремонт крыши в Томск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tomsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tomsk_tenant1
-	Томск - Ремонт	устранение протечек крыши томск	Ремонт крыши в Томск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tomsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tomsk_tenant1
-	Томск - Ремонт	ремонт крыши частного дома томск	Ремонт крыши в Томск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tomsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tomsk_tenant1
-	Томск - Монтаж	монтаж кровли томск	Кровля под ключ в Томск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tomsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tomsk_tenant1
-	Томск - Монтаж	кровельные работы томск	Кровля под ключ в Томск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tomsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tomsk_tenant1
-	Томск - Монтаж	крыша под ключ томск	Кровля под ключ в Томск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tomsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tomsk_tenant1
-	Томск - Монтаж	перекрыть крышу томск	Кровля под ключ в Томск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tomsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tomsk_tenant1
-	Томск - Монтаж	строительство крыши томск	Кровля под ключ в Томск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tomsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tomsk_tenant1
-	Томск - Металлочерепица	монтаж металлочерепицы томск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	tomsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tomsk_tenant1
