Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Тула - Ремонт	ремонт кровли тула	Ремонт крыши в Тула	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tula.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Ремонт	ремонт крыши тула	Ремонт крыши в Тула	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tula.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Ремонт	демонтаж крыши тула	Ремонт крыши в Тула	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tula.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Ремонт	устранение протечек крыши тула	Ремонт крыши в Тула	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tula.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Ремонт	ремонт крыши частного дома тула	Ремонт крыши в Тула	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tula.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Монтаж	монтаж кровли тула	Кровля под ключ в Тула	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tula.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Монтаж	кровельные работы тула	Кровля под ключ в Тула	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tula.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Монтаж	крыша под ключ тула	Кровля под ключ в Тула	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tula.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Монтаж	перекрыть крышу тула	Кровля под ключ в Тула	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tula.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Монтаж	строительство крыши тула	Кровля под ключ в Тула	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tula.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Металлочерепица	монтаж металлочерепицы тула	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	tula.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Металлочерепица	крыша из металлочерепицы тула	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	tula.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Металлочерепица	металлочерепица под ключ тула	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	tula.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Металлочерепица	кровля металлочерепица цена тула	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	tula.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Профнастил	монтаж профнастила на крышу тула	Кровля из профнастила	От 1400 руб/м² в Тула	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	tula.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Профнастил	крыша из профнастила тула	Кровля из профнастила	От 1400 руб/м² в Тула	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	tula.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Профнастил	перекрыть крышу профлистом тула	Кровля из профнастила	От 1400 руб/м² в Тула	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	tula.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Профнастил	кровля профнастил цена тула	Кровля из профнастила	От 1400 руб/м² в Тула	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	tula.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Гибкая черепица	монтаж мягкой кровли тула	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	tula.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Гибкая черепица	гибкая черепица монтаж тула	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	tula.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Гибкая черепица	мягкая кровля цена тула	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	tula.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
-	Тула - Гибкая черепица	укладка мягкой черепицы тула	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	tula.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tula_tenant1
