Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Тверь - Ремонт	ремонт кровли тверь	Ремонт крыши в Тверь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tver.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Ремонт	ремонт крыши тверь	Ремонт крыши в Тверь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tver.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Ремонт	демонтаж крыши тверь	Ремонт крыши в Тверь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tver.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Ремонт	устранение протечек крыши тверь	Ремонт крыши в Тверь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tver.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Ремонт	ремонт крыши частного дома тверь	Ремонт крыши в Тверь	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	tver.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Монтаж	монтаж кровли тверь	Кровля под ключ в Тверь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tver.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Монтаж	кровельные работы тверь	Кровля под ключ в Тверь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tver.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Монтаж	крыша под ключ тверь	Кровля под ключ в Тверь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tver.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Монтаж	перекрыть крышу тверь	Кровля под ключ в Тверь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tver.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Монтаж	строительство крыши тверь	Кровля под ключ в Тверь	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	tver.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Металлочерепица	монтаж металлочерепицы тверь	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	tver.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Металлочерепица	крыша из металлочерепицы тверь	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	tver.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Металлочерепица	металлочерепица под ключ тверь	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	tver.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Металлочерепица	кровля металлочерепица цена тверь	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	tver.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
-	Тверь - Профнастил	монтаж профнастила на крышу тверь	Кровля из профнастила	От 1400 руб/м² в Тверь	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	tver.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=tver_tenant1
