Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Уфа - Ремонт	ремонт кровли уфа	Ремонт крыши в Уфа	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ufa.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
-	Уфа - Ремонт	ремонт крыши уфа	Ремонт крыши в Уфа	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ufa.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
-	Уфа - Ремонт	демонтаж крыши уфа	Ремонт крыши в Уфа	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ufa.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
-	Уфа - Ремонт	устранение протечек крыши уфа	Ремонт крыши в Уфа	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ufa.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
-	Уфа - Ремонт	ремонт крыши частного дома уфа	Ремонт крыши в Уфа	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ufa.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
-	Уфа - Монтаж	монтаж кровли уфа	Кровля под ключ в Уфа	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ufa.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
-	Уфа - Монтаж	кровельные работы уфа	Кровля под ключ в Уфа	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ufa.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
-	Уфа - Монтаж	крыша под ключ уфа	Кровля под ключ в Уфа	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ufa.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
-	Уфа - Монтаж	перекрыть крышу уфа	Кровля под ключ в Уфа	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ufa.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
-	Уфа - Монтаж	строительство крыши уфа	Кровля под ключ в Уфа	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ufa.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
-	Уфа - Металлочерепица	монтаж металлочерепицы уфа	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ufa.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
-	Уфа - Металлочерепица	крыша из металлочерепицы уфа	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ufa.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
-	Уфа - Металлочерепица	металлочерепица под ключ уфа	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ufa.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ufa_tenant1
