Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Ухта - Ремонт	ремонт кровли ухта	Ремонт крыши в Ухта	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ukhta.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Ремонт	ремонт крыши ухта	Ремонт крыши в Ухта	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ukhta.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Ремонт	демонтаж крыши ухта	Ремонт крыши в Ухта	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ukhta.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Ремонт	устранение протечек крыши ухта	Ремонт крыши в Ухта	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ukhta.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Ремонт	ремонт крыши частного дома ухта	Ремонт крыши в Ухта	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ukhta.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Монтаж	монтаж кровли ухта	Кровля под ключ в Ухта	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ukhta.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Монтаж	кровельные работы ухта	Кровля под ключ в Ухта	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ukhta.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Монтаж	крыша под ключ ухта	Кровля под ключ в Ухта	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ukhta.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Монтаж	перекрыть крышу ухта	Кровля под ключ в Ухта	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ukhta.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Монтаж	строительство крыши ухта	Кровля под ключ в Ухта	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ukhta.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Металлочерепица	монтаж металлочерепицы ухта	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ukhta.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Металлочерепица	крыша из металлочерепицы ухта	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ukhta.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Металлочерепица	металлочерепица под ключ ухта	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ukhta.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Металлочерепица	кровля металлочерепица цена ухта	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ukhta.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Профнастил	монтаж профнастила на крышу ухта	Кровля из профнастила	От 1400 руб/м² в Ухта	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	ukhta.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Профнастил	крыша из профнастила ухта	Кровля из профнастила	От 1400 руб/м² в Ухта	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	ukhta.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Профнастил	перекрыть крышу профлистом ухта	Кровля из профнастила	От 1400 руб/м² в Ухта	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	ukhta.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Профнастил	кровля профнастил цена ухта	Кровля из профнастила	От 1400 руб/м² в Ухта	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	ukhta.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Гибкая черепица	монтаж мягкой кровли ухта	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	ukhta.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Гибкая черепица	гибкая черепица монтаж ухта	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	ukhta.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Гибкая черепица	мягкая кровля цена ухта	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	ukhta.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
-	Ухта - Гибкая черепица	укладка мягкой черепицы ухта	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	ukhta.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ukhta_tenant1
