Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Улан-Удэ - Ремонт	ремонт кровли улан-удэ	Ремонт крыши в Улан-Удэ	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ulan-ude.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
-	Улан-Удэ - Ремонт	ремонт крыши улан-удэ	Ремонт крыши в Улан-Удэ	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ulan-ude.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
-	Улан-Удэ - Ремонт	демонтаж крыши улан-удэ	Ремонт крыши в Улан-Удэ	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ulan-ude.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
-	Улан-Удэ - Ремонт	устранение протечек крыши улан-удэ	Ремонт крыши в Улан-Удэ	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ulan-ude.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
-	Улан-Удэ - Ремонт	ремонт крыши частного дома улан-удэ	Ремонт крыши в Улан-Удэ	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ulan-ude.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
-	Улан-Удэ - Монтаж	монтаж кровли улан-удэ	Кровля под ключ в Улан-Удэ	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ulan-ude.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
-	Улан-Удэ - Монтаж	кровельные работы улан-удэ	Кровля под ключ в Улан-Удэ	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ulan-ude.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
-	Улан-Удэ - Монтаж	крыша под ключ улан-удэ	Кровля под ключ в Улан-Удэ	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ulan-ude.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
-	Улан-Удэ - Монтаж	перекрыть крышу улан-удэ	Кровля под ключ в Улан-Удэ	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ulan-ude.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
-	Улан-Удэ - Монтаж	строительство крыши улан-удэ	Кровля под ключ в Улан-Удэ	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ulan-ude.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
-	Улан-Удэ - Металлочерепица	монтаж металлочерепицы улан-удэ	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ulan-ude.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
-	Улан-Удэ - Металлочерепица	крыша из металлочерепицы улан-удэ	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ulan-ude.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
-	Улан-Удэ - Металлочерепица	металлочерепица под ключ улан-удэ	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ulan-ude.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ulan-ude_tenant1
