Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Ульяновск - Ремонт	ремонт кровли ульяновск	Ремонт крыши в Ульяновск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ulyanovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Ремонт	ремонт крыши ульяновск	Ремонт крыши в Ульяновск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ulyanovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Ремонт	демонтаж крыши ульяновск	Ремонт крыши в Ульяновск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ulyanovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Ремонт	устранение протечек крыши ульяновск	Ремонт крыши в Ульяновск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ulyanovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Ремонт	ремонт крыши частного дома ульяновск	Ремонт крыши в Ульяновск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	ulyanovsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Монтаж	монтаж кровли ульяновск	Кровля под ключ в Ульяновск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ulyanovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Монтаж	кровельные работы ульяновск	Кровля под ключ в Ульяновск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ulyanovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Монтаж	крыша под ключ ульяновск	Кровля под ключ в Ульяновск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ulyanovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Монтаж	перекрыть крышу ульяновск	Кровля под ключ в Ульяновск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ulyanovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Монтаж	строительство крыши ульяновск	Кровля под ключ в Ульяновск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	ulyanovsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Металлочерепица	монтаж металлочерепицы ульяновск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ulyanovsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Металлочерепица	крыша из металлочерепицы ульяновск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ulyanovsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Металлочерепица	металлочерепица под ключ ульяновск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ulyanovsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
-	Ульяновск - Металлочерепица	кровля металлочерепица цена ульяновск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	ulyanovsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=ulyanovsk_tenant1
