Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Усинск - Ремонт	ремонт кровли усинск	Ремонт крыши в Усинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	usinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Ремонт	ремонт крыши усинск	Ремонт крыши в Усинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	usinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Ремонт	демонтаж крыши усинск	Ремонт крыши в Усинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	usinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Ремонт	устранение протечек крыши усинск	Ремонт крыши в Усинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	usinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Ремонт	ремонт крыши частного дома усинск	Ремонт крыши в Усинск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	usinsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Монтаж	монтаж кровли усинск	Кровля под ключ в Усинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	usinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Монтаж	кровельные работы усинск	Кровля под ключ в Усинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	usinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Монтаж	крыша под ключ усинск	Кровля под ключ в Усинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	usinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Монтаж	перекрыть крышу усинск	Кровля под ключ в Усинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	usinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Монтаж	строительство крыши усинск	Кровля под ключ в Усинск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	usinsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Металлочерепица	монтаж металлочерепицы усинск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	usinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Металлочерепица	крыша из металлочерепицы усинск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	usinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Металлочерепица	металлочерепица под ключ усинск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	usinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Металлочерепица	кровля металлочерепица цена усинск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	usinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Профнастил	монтаж профнастила на крышу усинск	Кровля из профнастила	От 1400 руб/м² в Усинск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	usinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Профнастил	крыша из профнастила усинск	Кровля из профнастила	От 1400 руб/м² в Усинск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	usinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Профнастил	перекрыть крышу профлистом усинск	Кровля из профнастила	От 1400 руб/м² в Усинск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	usinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Профнастил	кровля профнастил цена усинск	Кровля из профнастила	От 1400 руб/м² в Усинск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	usinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Гибкая черепица	монтаж мягкой кровли усинск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	usinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Гибкая черепица	гибкая черепица монтаж усинск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	usinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Гибкая черепица	мягкая кровля цена усинск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	usinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
-	Усинск - Гибкая черепица	укладка мягкой черепицы усинск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	usinsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=usinsk_tenant1
