Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Великие Луки - Ремонт	ремонт кровли великие луки	Ремонт крыши в Великие Луки	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	velikie-luki.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=velikie-luki_tenant1
-	Великие Луки - Ремонт	ремонт крыши великие луки	Ремонт крыши в Великие Луки	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	velikie-luki.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=velikie-luki_tenant1
-	Великие Луки - Ремонт	демонтаж крыши великие луки	Ремонт крыши в Великие Луки	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	velikie-luki.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=velikie-luki_tenant1
-	Великие Луки - Ремонт	устранение протечек крыши великие луки	Ремонт крыши в Великие Луки	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	velikie-luki.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=velikie-luki_tenant1
-	Великие Луки - Ремонт	ремонт крыши частного дома великие луки	Ремонт крыши в Великие Луки	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	velikie-luki.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=velikie-luki_tenant1
-	Великие Луки - Монтаж	монтаж кровли великие луки	Кровля под ключ в Великие Луки	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	velikie-luki.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=velikie-luki_tenant1
-	Великие Луки - Монтаж	кровельные работы великие луки	Кровля под ключ в Великие Луки	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	velikie-luki.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=velikie-luki_tenant1
-	Великие Луки - Монтаж	крыша под ключ великие луки	Кровля под ключ в Великие Луки	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	velikie-luki.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=velikie-luki_tenant1
-	Великие Луки - Монтаж	перекрыть крышу великие луки	Кровля под ключ в Великие Луки	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	velikie-luki.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=velikie-luki_tenant1
-	Великие Луки - Монтаж	строительство крыши великие луки	Кровля под ключ в Великие Луки	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	velikie-luki.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=velikie-luki_tenant1
