Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Владикавказ - Ремонт	ремонт кровли владикавказ	Ремонт крыши в Владикавказ	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	vladikavkaz.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Ремонт	ремонт крыши владикавказ	Ремонт крыши в Владикавказ	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	vladikavkaz.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Ремонт	демонтаж крыши владикавказ	Ремонт крыши в Владикавказ	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	vladikavkaz.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Ремонт	устранение протечек крыши владикавказ	Ремонт крыши в Владикавказ	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	vladikavkaz.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Ремонт	ремонт крыши частного дома владикавказ	Ремонт крыши в Владикавказ	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	vladikavkaz.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Монтаж	монтаж кровли владикавказ	Кровля под ключ в Владикавказ	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	vladikavkaz.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Монтаж	кровельные работы владикавказ	Кровля под ключ в Владикавказ	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	vladikavkaz.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Монтаж	крыша под ключ владикавказ	Кровля под ключ в Владикавказ	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	vladikavkaz.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Монтаж	перекрыть крышу владикавказ	Кровля под ключ в Владикавказ	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	vladikavkaz.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Монтаж	строительство крыши владикавказ	Кровля под ключ в Владикавказ	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	vladikavkaz.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Металлочерепица	монтаж металлочерепицы владикавказ	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	vladikavkaz.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Металлочерепица	крыша из металлочерепицы владикавказ	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	vladikavkaz.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Металлочерепица	металлочерепица под ключ владикавказ	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	vladikavkaz.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
-	Владикавказ - Металлочерепица	кровля металлочерепица цена владикавказ	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	vladikavkaz.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=vladikavkaz_tenant1
