Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Волгоград - Ремонт	ремонт кровли волгоград	Ремонт крыши в Волгоград	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	volgograd.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=volgograd_tenant1
-	Волгоград - Ремонт	ремонт крыши волгоград	Ремонт крыши в Волгоград	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	volgograd.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=volgograd_tenant1
-	Волгоград - Ремонт	демонтаж крыши волгоград	Ремонт крыши в Волгоград	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	volgograd.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=volgograd_tenant1
-	Волгоград - Ремонт	устранение протечек крыши волгоград	Ремонт крыши в Волгоград	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	volgograd.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=volgograd_tenant1
-	Волгоград - Ремонт	ремонт крыши частного дома волгоград	Ремонт крыши в Волгоград	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	volgograd.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=volgograd_tenant1
-	Волгоград - Монтаж	монтаж кровли волгоград	Кровля под ключ в Волгоград	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	volgograd.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=volgograd_tenant1
-	Волгоград - Монтаж	кровельные работы волгоград	Кровля под ключ в Волгоград	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	volgograd.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=volgograd_tenant1
-	Волгоград - Монтаж	крыша под ключ волгоград	Кровля под ключ в Волгоград	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	volgograd.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=volgograd_tenant1
-	Волгоград - Монтаж	перекрыть крышу волгоград	Кровля под ключ в Волгоград	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	volgograd.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=volgograd_tenant1
-	Волгоград - Монтаж	строительство крыши волгоград	Кровля под ключ в Волгоград	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	volgograd.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=volgograd_tenant1
