Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Волжский - Ремонт	ремонт кровли волжский	Ремонт крыши в Волжский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	volzhskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=volzhskiy_tenant1
-	Волжский - Ремонт	ремонт крыши волжский	Ремонт крыши в Волжский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	volzhskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=volzhskiy_tenant1
-	Волжский - Ремонт	демонтаж крыши волжский	Ремонт крыши в Волжский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	volzhskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=volzhskiy_tenant1
-	Волжский - Ремонт	устранение протечек крыши волжский	Ремонт крыши в Волжский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	volzhskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=volzhskiy_tenant1
-	Волжский - Ремонт	ремонт крыши частного дома волжский	Ремонт крыши в Волжский	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	volzhskiy.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=volzhskiy_tenant1
-	Волжский - Монтаж	монтаж кровли волжский	Кровля под ключ в Волжский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	volzhskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=volzhskiy_tenant1
-	Волжский - Монтаж	кровельные работы волжский	Кровля под ключ в Волжский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	volzhskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=volzhskiy_tenant1
-	Волжский - Монтаж	крыша под ключ волжский	Кровля под ключ в Волжский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	volzhskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=volzhskiy_tenant1
-	Волжский - Монтаж	перекрыть крышу волжский	Кровля под ключ в Волжский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	volzhskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=volzhskiy_tenant1
-	Волжский - Монтаж	строительство крыши волжский	Кровля под ключ в Волжский	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	volzhskiy.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=volzhskiy_tenant1
