Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Воронеж - Ремонт	ремонт кровли воронеж	Ремонт крыши в Воронеж	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	voronezh.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=voronezh_tenant1
-	Воронеж - Ремонт	ремонт крыши воронеж	Ремонт крыши в Воронеж	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	voronezh.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=voronezh_tenant1
-	Воронеж - Ремонт	демонтаж крыши воронеж	Ремонт крыши в Воронеж	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	voronezh.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=voronezh_tenant1
-	Воронеж - Ремонт	устранение протечек крыши воронеж	Ремонт крыши в Воронеж	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	voronezh.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=voronezh_tenant1
-	Воронеж - Ремонт	ремонт крыши частного дома воронеж	Ремонт крыши в Воронеж	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	voronezh.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=voronezh_tenant1
-	Воронеж - Монтаж	монтаж кровли воронеж	Кровля под ключ в Воронеж	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	voronezh.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=voronezh_tenant1
-	Воронеж - Монтаж	кровельные работы воронеж	Кровля под ключ в Воронеж	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	voronezh.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=voronezh_tenant1
-	Воронеж - Монтаж	крыша под ключ воронеж	Кровля под ключ в Воронеж	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	voronezh.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=voronezh_tenant1
-	Воронеж - Монтаж	перекрыть крышу воронеж	Кровля под ключ в Воронеж	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	voronezh.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=voronezh_tenant1
-	Воронеж - Монтаж	строительство крыши воронеж	Кровля под ключ в Воронеж	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	voronezh.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=voronezh_tenant1
-	Воронеж - Металлочерепица	монтаж металлочерепицы воронеж	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	voronezh.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=voronezh_tenant1
