Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Якутск - Ремонт	ремонт кровли якутск	Ремонт крыши в Якутск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yakutsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yakutsk_tenant1
-	Якутск - Ремонт	ремонт крыши якутск	Ремонт крыши в Якутск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yakutsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yakutsk_tenant1
-	Якутск - Ремонт	демонтаж крыши якутск	Ремонт крыши в Якутск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yakutsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yakutsk_tenant1
-	Якутск - Ремонт	устранение протечек крыши якутск	Ремонт крыши в Якутск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yakutsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yakutsk_tenant1
-	Якутск - Ремонт	ремонт крыши частного дома якутск	Ремонт крыши в Якутск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yakutsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yakutsk_tenant1
-	Якутск - Монтаж	монтаж кровли якутск	Кровля под ключ в Якутск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yakutsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yakutsk_tenant1
-	Якутск - Монтаж	кровельные работы якутск	Кровля под ключ в Якутск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yakutsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yakutsk_tenant1
-	Якутск - Монтаж	крыша под ключ якутск	Кровля под ключ в Якутск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yakutsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yakutsk_tenant1
-	Якутск - Монтаж	перекрыть крышу якутск	Кровля под ключ в Якутск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yakutsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yakutsk_tenant1
-	Якутск - Монтаж	строительство крыши якутск	Кровля под ключ в Якутск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yakutsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yakutsk_tenant1
