Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Ярославль - Ремонт	ремонт кровли ярославль	Ремонт крыши в Ярославль	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yaroslavl.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Ремонт	ремонт крыши ярославль	Ремонт крыши в Ярославль	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yaroslavl.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Ремонт	демонтаж крыши ярославль	Ремонт крыши в Ярославль	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yaroslavl.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Ремонт	устранение протечек крыши ярославль	Ремонт крыши в Ярославль	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yaroslavl.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Ремонт	ремонт крыши частного дома ярославль	Ремонт крыши в Ярославль	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yaroslavl.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Монтаж	монтаж кровли ярославль	Кровля под ключ в Ярославль	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yaroslavl.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Монтаж	кровельные работы ярославль	Кровля под ключ в Ярославль	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yaroslavl.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Монтаж	крыша под ключ ярославль	Кровля под ключ в Ярославль	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yaroslavl.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Монтаж	перекрыть крышу ярославль	Кровля под ключ в Ярославль	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yaroslavl.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Монтаж	строительство крыши ярославль	Кровля под ключ в Ярославль	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yaroslavl.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Металлочерепица	монтаж металлочерепицы ярославль	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	yaroslavl.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Металлочерепица	крыша из металлочерепицы ярославль	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	yaroslavl.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Металлочерепица	металлочерепица под ключ ярославль	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	yaroslavl.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Металлочерепица	кровля металлочерепица цена ярославль	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	yaroslavl.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Профнастил	монтаж профнастила на крышу ярославль	Кровля из профнастила	От 1400 руб/м² в Ярославль	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	yaroslavl.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Профнастил	крыша из профнастила ярославль	Кровля из профнастила	От 1400 руб/м² в Ярославль	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	yaroslavl.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Профнастил	перекрыть крышу профлистом ярославль	Кровля из профнастила	От 1400 руб/м² в Ярославль	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	yaroslavl.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
-	Ярославль - Профнастил	кровля профнастил цена ярославль	Кровля из профнастила	От 1400 руб/м² в Ярославль	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	yaroslavl.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=yaroslavl_tenant1
