Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Йошкар-Ола - Ремонт	ремонт кровли йошкар-ола	Ремонт крыши в Йошкар-Ола	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yoshkar-ola.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Ремонт	ремонт крыши йошкар-ола	Ремонт крыши в Йошкар-Ола	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yoshkar-ola.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Ремонт	демонтаж крыши йошкар-ола	Ремонт крыши в Йошкар-Ола	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yoshkar-ola.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Ремонт	устранение протечек крыши йошкар-ола	Ремонт крыши в Йошкар-Ола	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yoshkar-ola.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Ремонт	ремонт крыши частного дома йошкар-ола	Ремонт крыши в Йошкар-Ола	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	yoshkar-ola.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Монтаж	монтаж кровли йошкар-ола	Кровля под ключ в Йошкар-Ола	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yoshkar-ola.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Монтаж	кровельные работы йошкар-ола	Кровля под ключ в Йошкар-Ола	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yoshkar-ola.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Монтаж	крыша под ключ йошкар-ола	Кровля под ключ в Йошкар-Ола	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yoshkar-ola.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Монтаж	перекрыть крышу йошкар-ола	Кровля под ключ в Йошкар-Ола	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yoshkar-ola.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Монтаж	строительство крыши йошкар-ола	Кровля под ключ в Йошкар-Ола	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	yoshkar-ola.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Металлочерепица	монтаж металлочерепицы йошкар-ола	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	yoshkar-ola.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Металлочерепица	крыша из металлочерепицы йошкар-ола	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	yoshkar-ola.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Металлочерепица	металлочерепица под ключ йошкар-ола	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	yoshkar-ola.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
-	Йошкар-Ола - Металлочерепица	кровля металлочерепица цена йошкар-ола	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	yoshkar-ola.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=yoshkar-ola_tenant1
