Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Зеленодольск - Ремонт	ремонт кровли зеленодольск	Ремонт крыши в Зеленодольск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	zelenodolsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=zelenodolsk_tenant1
-	Зеленодольск - Ремонт	ремонт крыши зеленодольск	Ремонт крыши в Зеленодольск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	zelenodolsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=zelenodolsk_tenant1
-	Зеленодольск - Ремонт	демонтаж крыши зеленодольск	Ремонт крыши в Зеленодольск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	zelenodolsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=zelenodolsk_tenant1
-	Зеленодольск - Ремонт	устранение протечек крыши зеленодольск	Ремонт крыши в Зеленодольск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	zelenodolsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=zelenodolsk_tenant1
-	Зеленодольск - Ремонт	ремонт крыши частного дома зеленодольск	Ремонт крыши в Зеленодольск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	zelenodolsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=zelenodolsk_tenant1
-	Зеленодольск - Монтаж	монтаж кровли зеленодольск	Кровля под ключ в Зеленодольск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	zelenodolsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=zelenodolsk_tenant1
-	Зеленодольск - Монтаж	кровельные работы зеленодольск	Кровля под ключ в Зеленодольск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	zelenodolsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=zelenodolsk_tenant1
-	Зеленодольск - Монтаж	крыша под ключ зеленодольск	Кровля под ключ в Зеленодольск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	zelenodolsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=zelenodolsk_tenant1
-	Зеленодольск - Монтаж	перекрыть крышу зеленодольск	Кровля под ключ в Зеленодольск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	zelenodolsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=zelenodolsk_tenant1
-	Зеленодольск - Монтаж	строительство крыши зеленодольск	Кровля под ключ в Зеленодольск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	zelenodolsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=zelenodolsk_tenant1
-	Зеленодольск - Металлочерепица	монтаж металлочерепицы зеленодольск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	zelenodolsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=zelenodolsk_tenant1
