Доп. объявление	Название группы	Фраза (с минус-словами)	Заголовок 1	Заголовок 2	Текст	Ссылка
-	Железногорск - Ремонт	ремонт кровли железногорск	Ремонт крыши в Железногорск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	zheleznogorsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Ремонт	ремонт крыши железногорск	Ремонт крыши в Железногорск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	zheleznogorsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Ремонт	демонтаж крыши железногорск	Ремонт крыши в Железногорск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	zheleznogorsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Ремонт	устранение протечек крыши железногорск	Ремонт крыши в Железногорск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	zheleznogorsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Ремонт	ремонт крыши частного дома железногорск	Ремонт крыши в Железногорск	Гарантия до 39 лет!	Устраним протечки. Бесплатный замер за 2 мин. Опыт более 15 лет. Звоните!	zheleznogorsk.krovstroyrf.ru/uslugi/demontazh-i-remont-krovli?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Монтаж	монтаж кровли железногорск	Кровля под ключ в Железногорск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	zheleznogorsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Монтаж	кровельные работы железногорск	Кровля под ключ в Железногорск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	zheleznogorsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Монтаж	крыша под ключ железногорск	Кровля под ключ в Железногорск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	zheleznogorsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Монтаж	перекрыть крышу железногорск	Кровля под ключ в Железногорск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	zheleznogorsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Монтаж	строительство крыши железногорск	Кровля под ключ в Железногорск	Опытные кровельщики	Надежный монтаж кровли под ключ. Скидка 10% на материалы при заказе! Звони.	zheleznogorsk.krovstroyrf.ru/?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Металлочерепица	монтаж металлочерепицы железногорск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	zheleznogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Металлочерепица	крыша из металлочерепицы железногорск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	zheleznogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Металлочерепица	металлочерепица под ключ железногорск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	zheleznogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Металлочерепица	кровля металлочерепица цена железногорск	Монтаж металлочерепицы	От 1500 руб/м². Под ключ	Качественная кровля из металлочерепицы. Выезд замерщика бесплатно!	zheleznogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-metallocherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Профнастил	монтаж профнастила на крышу железногорск	Кровля из профнастила	От 1400 руб/м² в Железногорск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	zheleznogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Профнастил	крыша из профнастила железногорск	Кровля из профнастила	От 1400 руб/м² в Железногорск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	zheleznogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Профнастил	перекрыть крышу профлистом железногорск	Кровля из профнастила	От 1400 руб/м² в Железногорск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	zheleznogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Профнастил	кровля профнастил цена железногорск	Кровля из профнастила	От 1400 руб/м² в Железногорск	Надежный монтаж крыши из профнастила. Строго по договору без скрытых платежей.	zheleznogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-profnastila?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Гибкая черепица	монтаж мягкой кровли железногорск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	zheleznogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Гибкая черепица	гибкая черепица монтаж железногорск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	zheleznogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Гибкая черепица	мягкая кровля цена железногорск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	zheleznogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
-	Железногорск - Гибкая черепица	укладка мягкой черепицы железногорск	Монтаж гибкой черепицы	Идеальная крыша для дома	Профессиональная укладка гибкой (мягкой) черепицы от 1800 руб/м². Гарантия!	zheleznogorsk.krovstroyrf.ru/uslugi/montazh-krovli-iz-gibkoj-cherepitsy?utm_source=yandex&utm_medium=cpc&utm_campaign=zheleznogorsk_tenant1
